#	"City ID"	"City Name"	"Airport code"	"Country ID"	"Country name"#	"Region ID"	"Region name"	"Continent ID"	"Continent name"	"Hemisphere ID"
	70	Niamey	NIM	152	Niger	19	Western Africa	0	Africa	1
	71	Agadez	AJY	152	Niger	19	Western Africa	0	Africa	1
	72	Zinder	ZND	152	Niger	19	Western Africa	0	Africa	1
	73	Doha	DOH	175	Qatar	20	Western Asia	1	Asia	0
	74	Ondangwa	OND	150	Namibia	16	Southern Africa	0	Africa	1
	75	Katima Mulilo	MPA	150	Namibia	16	Southern Africa	0	Africa	1
	76	Windhoek	WDH	150	Namibia	16	Southern Africa	0	Africa	1
	77	Walvis Bay	WVB	150	Namibia	16	Southern Africa	0	Africa	1
	78	Rundu	NDU	150	Namibia	16	Southern Africa	0	Africa	1
	79	Luderitz	LUD	150	Namibia	16	Southern Africa	0	Africa	2
	80	Oranjemund	OMD	150	Namibia	16	Southern Africa	0	Africa	2
	81	Plovdiv	PDV	20	Bulgaria	6	Eastern Europe	2	Europe	0
	82	Varna	VAR	20	Bulgaria	6	Eastern Europe	2	Europe	0
	83	Burgas	BOJ	20	Bulgaria	6	Eastern Europe	2	Europe	0
	84	Sofia	SOF	20	Bulgaria	6	Eastern Europe	2	Europe	0
	85	Yacuiba	BYC	28	Bolivia	14	South America	5	South America	1
	86	Trinidad	TDD	28	Bolivia	14	South America	5	South America	1
	87	Tarija	TJA	28	Bolivia	14	South America	5	South America	1
	88	Uyuni	UYU	28	Bolivia	14	South America	5	South America	1
	89	Puerto Suarez	PSZ	28	Bolivia	14	South America	5	South America	1
	90	Santa Cruz	VVI	28	Bolivia	14	South America	5	South America	1
	91	Oruro	ORU	28	Bolivia	14	South America	5	South America	1
	92	Riberalta	RIB	28	Bolivia	14	South America	5	South America	1
	93	Rurrenabaque	RBQ	28	Bolivia	14	South America	5	South America	1
	94	Potosi	POI	28	Bolivia	14	South America	5	South America	1
	95	Cochabamba	CBB	28	Bolivia	14	South America	5	South America	1
	96	La Paz (BO)	LPB	28	Bolivia	14	South America	5	South America	1
	97	Cobija	CIJ	28	Bolivia	14	South America	5	South America	1
	98	Sucre	SRE	28	Bolivia	14	South America	5	South America	1
	99	Sunyani	NYI	78	Ghana	19	Western Africa	0	Africa	1
	100	Takoradi	TKD	78	Ghana	19	Western Africa	0	Africa	1
	101	Kumasi	KMS	78	Ghana	19	Western Africa	0	Africa	1
	102	Tamale	TML	78	Ghana	19	Western Africa	0	Africa	1
	103	Accra	ACC	78	Ghana	19	Western Africa	0	Africa	1
	104	Cocos Islands	CCK	36	Cocos (Keeling) Islands	15	South-Eastern Asia	1	Asia	1
	105	Karachi	KHI	163	Pakistan	17	Southern Asia	1	Asia	0
	106	Gilgit	GIL	163	Pakistan	17	Southern Asia	1	Asia	0
	107	Dalbandin	DBA	163	Pakistan	17	Southern Asia	1	Asia	0
	108	Islamabad	ISB	163	Pakistan	17	Southern Asia	1	Asia	0
	109	Turbat	TUK	163	Pakistan	17	Southern Asia	1	Asia	0
	110	Sukkur	SKZ	163	Pakistan	17	Southern Asia	1	Asia	0
	111	Chitral	CJL	163	Pakistan	17	Southern Asia	1	Asia	0
	112	Sui	SUL	163	Pakistan	17	Southern Asia	1	Asia	0
	113	Panjgur	PJG	163	Pakistan	17	Southern Asia	1	Asia	0
	114	Rahim Yar Khan	RYK	163	Pakistan	17	Southern Asia	1	Asia	0
	115	Lahore	LHE	163	Pakistan	17	Southern Asia	1	Asia	0
	116	Dera Ismail Khan	DSK	163	Pakistan	17	Southern Asia	1	Asia	0
	117	Saidu Sharif	SDT	163	Pakistan	17	Southern Asia	1	Asia	0
	118	Faisalabad	LYP	163	Pakistan	17	Southern Asia	1	Asia	0
	119	Peshawar	PEW	163	Pakistan	17	Southern Asia	1	Asia	0
	120	Kadanwari	KCF	163	Pakistan	17	Southern Asia	1	Asia	0
	121	Quetta	UET	163	Pakistan	17	Southern Asia	1	Asia	0
	122	Mohenjodaro	MJD	163	Pakistan	17	Southern Asia	1	Asia	0
	123	Hyderabad (PK)	HDD	163	Pakistan	17	Southern Asia	1	Asia	0
	124	Zhob	PZH	163	Pakistan	17	Southern Asia	1	Asia	0
	125	Sialkot	SKT	163	Pakistan	17	Southern Asia	1	Asia	0
	126	Dadu	DDU	163	Pakistan	17	Southern Asia	1	Asia	0
	127	Gwadar	GWD	163	Pakistan	17	Southern Asia	1	Asia	0
	128	Skardu	KDU	163	Pakistan	17	Southern Asia	1	Asia	0
	129	Dera Ghazi Khan	DEA	163	Pakistan	17	Southern Asia	1	Asia	0
	130	Bahawalpur	BHV	163	Pakistan	17	Southern Asia	1	Asia	0
	131	Multan	MUX	163	Pakistan	17	Southern Asia	1	Asia	0
	132	Nawabshah	WNS	163	Pakistan	17	Southern Asia	1	Asia	0
	133	Sao Vicente Island	VXE	47	Cape Verde	19	Western Africa	0	Africa	1
	134	Sao Filipe	SFL	47	Cape Verde	19	Western Africa	0	Africa	1
	135	Sal Island	SID	47	Cape Verde	19	Western Africa	0	Africa	1
	136	Sao Nicolau Island	SNE	47	Cape Verde	19	Western Africa	0	Africa	1
	137	Praia	RAI	47	Cape Verde	19	Western Africa	0	Africa	1
	138	Boa Vista Island	BVC	47	Cape Verde	19	Western Africa	0	Africa	1
	139	Cluj-Napoca	CLJ	177	Romania	6	Eastern Europe	2	Europe	0
	140	Bacau	BCM	177	Romania	6	Eastern Europe	2	Europe	0
	141	Suceava	SCV	177	Romania	6	Eastern Europe	2	Europe	0
	142	Satu Mare	SUJ	177	Romania	6	Eastern Europe	2	Europe	0
