#	"ID"	"Name"
	0	Australia and New Zealand
	1	Caribbean
	2	Central America
	3	Central Asia
	4	Eastern Africa
	5	Eastern Asia
	6	Eastern Europe
	7	Melanesia
	8	Micronesia
	9	Middle Africa
	10	Northern Africa
	11	Northern America
	12	Northern Europe
	13	Polynesia
	14	South America
	15	South-Eastern Asia
	16	Southern Africa
	17	Southern Asia
	18	Southern Europe
	19	Western Africa
	20	Western Asia
	21	Western Europe
